Mean Temp,Max Temp,Min Temp
12.016666666666666,22.7,3.2
12.887500000000001,19.8,7.2
-4.016666666666667,0.5,-6.1
13.112499999999999,23.3,3.2
17.216666666666665,25.5,9.5
16.758333333333333,23.3,11.0
11.987499999999999,16.8,6.6
5.270833333333333,8.4,2.7
6.120833333333334,9.2,2.5
-0.4083333333333334,7.3,-4.0
-1.6333333333333335,2.8,-7.5
1.1791666666666667,4.4,-1.6
2.154166666666667,4.2,0.4
2.904166666666667,6.5,-0.6
0.2750000000000001,4.8,-5.1
3.3708333333333336,8.4,-0.9
-5.683333333333334,0.5,-11.1
-12.799999999999999,-9.5,-16.2
-9.375,-4.5,-15.3
2.1208333333333336,11.4,-5.7
8.441666666666666,12.7,0.8
-2.375,0.0,-5.0
2.2875,5.9,-1.5
5.679166666666667,8.8,4.0
