Match_ID,Team,Opponent,Bowler_Name,Overs,Maidens,Runs_Conceded,Wickets,Economy,Dots
1879,England,Pakistan,Ben Stokes,4.0,0,32,1,8.0,6
1879,England,Pakistan,Chris Woakes,3.0,0,26,0,8.66,7
1879,England,Pakistan,Sam Curran,4.0,0,12,3,3.0,15
1879,England,Pakistan,Adil Rashid,4.0,1,22,2,5.5,10
1879,England,Pakistan,Chris Jordan,4.0,0,27,2,6.75,9
1879,England,Pakistan,Liam Livingstone,1.0,0,16,0,16.0,1
1879,Pakistan,England,Shaheen Shah Afridi,2.1,0,13,1,6.0,6
1879,Pakistan,England,Naseem Shah,4.0,0,30,0,7.5,15
1879,Pakistan,England,Haris Rauf,4.0,0,23,2,5.75,13
1879,Pakistan,England,Shadab Khan,4.0,0,20,1,5.0,10
1879,Pakistan,England,Mohammad Wasim,4.0,0,38,1,9.5,5
1879,Pakistan,England,Iftikhar Ahmed,0.5,0,13,0,15.6,0
1878,England,India,Ben Stokes,2.0,0,18,0,9.0,5
1878,England,India,Chris Woakes,3.0,0,24,1,8.0,5
1878,England,India,Sam Curran,4.0,0,42,0,10.5,9
1878,England,India,Adil Rashid,4.0,0,20,1,5.0,8
1878,England,India,Liam Livingstone,3.0,0,21,0,7.0,7
1878,England,India,Chris Jordan,4.0,0,43,3,10.75,8
1878,India,England,Bhuvneshwar Kumar,2.0,0,25,0,12.5,4
1878,India,England,Arshdeep Singh,2.0,0,15,0,7.5,4
1878,India,England,Axar Patel,4.0,0,30,0,7.5,10
1878,India,England,Mohammed Shami,3.0,0,39,0,13.0,7
1878,India,England,Ravichandran Ashwin,2.0,0,27,0,13.5,1
1878,India,England,Hardik Pandya,3.0,0,34,0,11.33,5
1877,Pakistan,New Zealand,Shaheen Shah Afridi,4.0,0,24,2,6.0,11
1877,Pakistan,New Zealand,Naseem Shah,4.0,0,30,0,7.5,8
1877,Pakistan,New Zealand,Haris Rauf,4.0,0,32,0,8.0,6
1877,Pakistan,New Zealand,Mohammad Wasim,2.0,0,15,0,7.5,3
1877,Pakistan,New Zealand,Shadab Khan,4.0,0,33,0,8.25,7
1877,Pakistan,New Zealand,Mohammad Nawaz,2.0,0,12,1,6.0,2
1877,New Zealand,Pakistan,Trent Boult,4.0,0,33,2,8.25,9
1877,New Zealand,Pakistan,Tim Southee,3.1,0,24,0,7.57,7
1877,New Zealand,Pakistan,Lockie Ferguson,4.0,0,37,0,9.25,7
1877,New Zealand,Pakistan,Mitchell Santner,4.0,0,26,1,6.5,6
1877,New Zealand,Pakistan,Ish Sodhi,4.0,0,26,0,6.5,4
1873,Zimbabwe,India,Richard Ngarava,4.0,1,44,1,11.0,12
1873,Zimbabwe,India,Tendai Chatara,4.0,0,34,0,8.5,5
1873,Zimbabwe,India,Blessing Muzarabani,4.0,0,50,1,12.5,5
1873,Zimbabwe,India,Wellington Masakadza,2.0,0,12,0,6.0,5
1873,Zimbabwe,India,Ryan Burl,1.0,0,14,0,14.0,1
1873,Zimbabwe,India,Sikandar Raza,3.0,0,18,1,6.0,5
1873,Zimbabwe,India,Sean Williams,2.0,0,9,2,4.5,6
1873,India,Zimbabwe,Bhuvneshwar Kumar,3.0,1,11,1,3.66,14
1873,India,Zimbabwe,Arshdeep Singh,2.0,0,9,1,4.5,9
1873,India,Zimbabwe,Mohammed Shami,2.0,0,14,2,7.0,7
1873,India,Zimbabwe,Hardik Pandya,3.0,0,16,2,5.33,10
1873,India,Zimbabwe,Ravichandran Ashwin,4.0,0,22,3,5.5,13
1873,India,Zimbabwe,Axar Patel,3.2,0,40,1,12.0,4
1872,Pakistan,Bangladesh,Shaheen Shah Afridi,4.0,0,22,4,5.5,13
1872,Pakistan,Bangladesh,Naseem Shah,3.0,0,15,0,5.0,9
1872,Pakistan,Bangladesh,Mohammad Wasim,2.0,0,19,0,9.5,5
1872,Pakistan,Bangladesh,Haris Rauf,4.0,0,21,1,5.25,11
1872,Pakistan,Bangladesh,Shadab Khan,4.0,0,30,2,7.5,8
1872,Pakistan,Bangladesh,Iftikhar Ahmed,3.0,0,15,1,5.0,9
1872,Bangladesh,Pakistan,Taskin Ahmed,3.0,0,26,0,8.66,10
1872,Bangladesh,Pakistan,Nasum Ahmed,4.0,0,14,1,3.5,13
1872,Bangladesh,Pakistan,Shakib Al Hasan,4.0,0,35,1,8.75,6
1872,Bangladesh,Pakistan,Mustafizur Rahman,4.0,0,21,1,5.25,8
1872,Bangladesh,Pakistan,Ebadot Hossain,3.1,0,25,1,7.89,7
1871,South Africa,Netherlands,Wayne Parnell,4.0,0,32,0,8.0,10
1871,South Africa,Netherlands,Kagiso Rabada,3.0,0,37,0,12.33,6
1871,South Africa,Netherlands,Lungi Ngidi,3.0,0,35,0,11.66,3
1871,South Africa,Netherlands,Anrich Nortje,4.0,0,10,1,2.5,14
1871,South Africa,Netherlands,Keshav Maharaj,4.0,0,27,2,6.75,12
1871,South Africa,Netherlands,Aiden Markram,2.0,0,16,1,8.0,3
1871,Netherlands,South Africa,Fred Klaassen,4.0,0,20,2,5.0,15
1871,Netherlands,South Africa,Paul van Meekeren,3.0,0,33,1,11.0,5
1871,Netherlands,South Africa,Colin Ackermann,3.0,0,16,0,5.33,6
1871,Netherlands,South Africa,Roelof van der Merwe,2.0,0,19,0,9.5,2
1871,Netherlands,South Africa,Brandon Glover,2.0,0,9,3,4.5,5
1871,Netherlands,South Africa,Logan van Beek,3.0,0,23,0,7.66,4
